Type,Title,Price,Location,Beds,Baths,Area,Date
House,Double Storey 300 Square Yards House Available In Askari 6 For sale,5.9 Crore,"Askari 6, Malir Cantonment",5,5,300 Sq. Yd.,Added: 4 hours ago
House,Brand New House For Sale,10 Crore,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",6,6,400 Sq. Yd.,Added: 4 hours ago
House,Unoccupied House Of 375 Square Yards Is Available For sale In Cantt,6.55 Crore,"Askari 6, Malir Cantonment",5,5,375 Sq. Yd.,Added: 4 hours ago
House,HOUSE FOR SALE BRAND NEW NAYA NAZIMABAD BLOCK D,3.65 Crore,"Naya Nazimabad, Karachi",4,4,120 Sq. Yd.,Added: 5 hours ago
House,Bungalow For Sale 1000 Square Yards In DHA Phase 8,25 Crore,"DHA Phase 8, DHA Defence",5,6,"1,000 Sq. Yd.",Added: 9 minutes ago
House,House For Sale 100 Square Yards In Phase 8 Staff Lane,5 Crore,"DHA Phase 8, DHA Defence",4,4,100 Sq. Yd.,Added: 17 minutes ago
House,Phase 6 666 Yard Bungalow For Sale Near Sehar,15.5 Crore,"DHA Phase 6, DHA Defence",4,5,666 Sq. Yd.,Added: 2 hours ago
House,3Bed DDL 200sq yd Villa FOR SALE. Top Heighted Location near. Murree Point BTK (Hill View),1.65 Crore,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3,3,200 Sq. Yd.,Added: 2 hours ago
House,"Corner Fully Furnished Ready to move 272sq yd 5 Bedrooms DDL Luxury Villa FOR SALE. Only 4km from Main Entrance of BTK. Near GRAND MOSQUE, A-Plus Quality Construction.",6.5 Crore,"Bahria Town - Precinct 8, Bahria Town Karachi",5,5,400 Sq. Yd.,Added: 2 hours ago
House,House For Sale,5.85 Crore,"North Nazimabad - Block I, North Nazimabad",5,5,400 Sq. Yd.,Added: 2 hours ago
House,"VILLAS ON INSTALLMENT 125 Sq Yards In Ali Block All Amenities Nearby Including MOSQUE, General Store, Parks 12min Drive From Main Gate Of Bahria Town Karachi. Call For Details.",1.66 Crore,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3,3,125 Sq. Yd.,Added: 2 hours ago
House,3 Bed DDL 152 Sq Yard Bahria Construction Villa Available FOR SALE At The Minimum Price Of The Market,1.25 Crore,"Bahria Town - Precinct 10-B, Bahria Town Karachi",3,3,152 Sq. Yd.,Added: 5 minutes ago
House,350sq yd 4Bed DDL Sports Villas with 100sq yd BackYard LAWN at LOWEST RATE of MARKET,1.8 Crore,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,Added: 7 minutes ago
House,Iqbal Villas 152sq yd Close to Entrance of BTK 3Bed One Unit Villas FOR SALE,1.7 Crore,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2",3,3,152 Sq. Yd.,Added: 12 minutes ago
House,Brand New 500 Yards West Open Luxury Villa For Sale Designer Built,24 Crore,"DHA Phase 8, DHA Defence",6,6,500 Sq. Yd.,Added: 13 minutes ago
House,House For Sale 1000 Square Yards In DHA Phase 6,15.5 Crore,"DHA Phase 6, DHA Defence",8,7,"1,000 Sq. Yd.",Added: 15 minutes ago
House,"LEASED 2-UNIT 6-BED PROPERTY FOR SALE IN KHAYABAN-E-RIZWAN, PHASE 7 EXT. DHA KARACHI",8.5 Crore,"DHA Phase 7 Extension, DHA Defence",6,6,500 Sq. Yd.,Added: 18 minutes ago
House,Bungalow 100 Yards For Sale In Dha Phase 8,4.75 Crore,"DHA Phase 8, DHA Defence",4,4,100 Sq. Yd.,Added: 18 minutes ago
House,1080 Yard Owner Built Bungalow For Sale,24.5 Crore,"DHA Phase 5, DHA Defence",6,7,"1,080 Sq. Yd.",Added: 21 minutes ago
House,272 Sq Yd Ready To Move Villa In Precinct-1 0.5km From Main Entrance. A-One Construction Standard 5Bed Drawing Dining Lounge,3.2 Crore,"Bahria Town - Precinct 1, Bahria Town Karachi",5,5,272 Sq. Yd.,Added: 1 day ago
House,500 Square Yards House In Stunning Falcon Complex New Malir Is Available For sale,9.05 Crore,"Falcon Complex New Malir, Malir",5,5,500 Sq. Yd.,Added: 1 day ago
House,Dha 1000 House Available For Sale In Phase Viii,45 Crore,"DHA Phase 8, DHA Defence",6,6,"1,000 Sq. Yd.",Added: 2 days ago
House,For Residential Town House,10 Crore,"Mohammad Ali Society, Gulshan-e-Iqbal Town",5,5,215 Sq. Yd.,Added: 2 days ago
House,"1000 Square Yard Bungalow For Sale DHA Phase 5, High Elevated Location",24 Crore,"DHA Phase 5, DHA Defence",6,6,"1,000 Sq. Yd.",Added: 2 days ago
House,375 Square Yards House In Askari 5 - Sector J Is Available For sale,8.1 Crore,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,Added: 5 hours ago
House,Perfect Corner 375 Square Yards House In Askari 5 - Sector J For sale,8.5 Crore,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,Added: 5 hours ago
House,Gulshan-e-Maymar - Sector Y House Sized 400 Square Yards Is Available,4.6 Crore,"Gulshan-e-Maymar - Sector Y, Gulshan-e-Maymar",6,5,400 Sq. Yd.,Added: 5 hours ago
House,West Open House Available For Sale In Askari 5 - Sector J,8.5 Crore,"Askari 5 - Sector J, Askari 5",5,5,375 Sq. Yd.,Added: 5 hours ago
House,A Corner House Of 260 Square Yards In Rs. 50000000,5 Crore,"North Karachi - Sector 11B, North Karachi",10,6,260 Sq. Yd.,Added: 6 hours ago
House,House For Sale 120 Square Yards In Phase 8 DHA,5.2 Crore,"DHA Phase 8 - Zone B, DHA Phase 8",4,4,120 Sq. Yd.,Added: 18 minutes ago
House,Artistically Built Bungalow For Sale 1000 Square Yards In Dha Phase 8,45 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",6,7,"1,000 Sq. Yd.",Added: 19 minutes ago
House,Bungalow For Sale,10.35 Crore,"DHA Phase 6, DHA Defence",6,6,500 Sq. Yd.,Added: 2 hours ago
House,Bungalow Sale,6.5 Crore,"DHA Phase 8, DHA Defence",5,6,120 Sq. Yd.,Added: 2 hours ago
House,Direct Owner Meeting Well Maintained House,3.9 Crore,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",6,6,240 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,9.35 Crore,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",7,6,670 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,8 Crore,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",,,400 Sq. Yd.,Added: 3 hours ago
House,Artistically Built Bungalow For Sale 1000 Square Yards In Dha Phase 6,34 Crore,"DHA Phase 6, DHA Defence",6,7,"1,000 Sq. Yd.",Added: 21 minutes ago
House,Prime Location 1000 Square Yards House In DHA Phase 6 For Sale,18.5 Crore,"DHA Phase 6, DHA Defence",6,6,"1,000 Sq. Yd.",Added: 21 minutes ago
House,Bungalow For Sale 500 Square Yards In DHA Phase 6,11.85 Crore,"DHA Phase 6, DHA Defence",4,5,500 Sq. Yd.,Added: 21 minutes ago
House,Bungalow for Sale 666 Square Yards In DHA Phase 8 Zone B,20 Crore,"DHA Phase 8 - Zone B, DHA Phase 8",6,7,666 Sq. Yd.,Added: 21 minutes ago
House,Bungalow For Sale 600 Square Yards In DHA Phase 6,13.5 Crore,"DHA Phase 6, DHA Defence",6,7,600 Sq. Yd.,Added: 21 minutes ago
House,Brand New Bungalow Sale 500 Square Yards In DHA Phase 8 - Zone A,20 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",6,6,500 Sq. Yd.,Added: 21 minutes ago
House,Bungalow for Sale 300 Square yards in DHA phase 4,10 Crore,"DHA Phase 4, DHA Defence",4,4,300 Sq. Yd.,Added: 22 minutes ago
House,272sq yd Ready to Move Villa in Precinct-1 0.5km from main entrance. A-One Construction Standard 5Bed Drawing Dining Lounge,3.75 Crore,"Bahria Town - Precinct 1, Bahria Town Karachi",5,5,272 Sq. Yd.,Added: 22 minutes ago
House,Looking For A House In Karachi,1.8 Crore,"Bahria Sports City, Bahria Town Karachi",4,4,350 Sq. Yd.,Added: 2 days ago
House,Your Search For House In Karachi Ends Here,2.25 Crore,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3,3,200 Sq. Yd.,Added: 2 days ago
House,Brand New 500 Yards Bungalow For Sale In DHA Phase 8 Karachi,18.75 Crore,"DHA Phase 8, DHA Defence",5,6,500 Sq. Yd.,Added: 2 days ago
House,Luxurious 500 Yards Designer House with Basement and Swimming Pool for Sale in DHA Phase 8 Karachi,25 Crore,"DHA Phase 8, DHA Defence",5,6,500 Sq. Yd.,Added: 2 days ago
House,Custom Built Having The Comforts Of A Modern Life Style 1000 Yards Bungalow For Sale In Dha Phase 8 Karachi,42 Crore,"DHA Phase 8, DHA Defence",6,7,"1,000 Sq. Yd.",Added: 2 days ago
House,"Change Your Address To Corner North Karachi, North Karachi For A Reasonable Price Of Rs. 45000000",4.5 Crore,"North Karachi, Karachi",10,6,260 Sq. Yd.,Added: 6 hours ago
House,120 SQ YARD LEASED HOUSE GROUND+ONE FOR SALE IN SAADI GARDEN ON 40 FT WIDE ROAD,2.13 Crore,"Saadi Garden - Block 5, Saadi Garden",4,6,120 Sq. Yd.,Added: 7 hours ago
House,Naya Nazimabad Block C Bungalow For Sale,3.4 Crore,"Naya Nazimabad - Block C, Naya Nazimabad",4,4,120 Sq. Yd.,Added: 8 hours ago
House,Whole Building For Sale In Qayyumabad,1.35 Crore,"Qayyumabad - D Area, Qayyumabad",2,1,40 Sq. Yd.,Added: 12 hours ago
House,MODERN DESIGN 120 SQUARE YARD HOUSE FOR SALE IN SECTOR R GULSHAN E MAYMAR KARACHI,2.1 Crore,"Gulshan-e-Maymar, Gadap Town",4,5,120 Sq. Yd.,Added: 12 hours ago
House,Artistically Built Bungalow For Sale 1000 Square Yards In Dha Phase 6,34 Crore,"DHA Phase 6, DHA Defence",6,6,"1,000 Sq. Yd.",Added: 22 minutes ago
House,Bungalow for Sale 500 Square Yards in DHA Phase 8,14.5 Crore,"DHA Phase 8, DHA Defence",5,5,500 Sq. Yd.,Added: 23 minutes ago
House,Direct Owner Meeting Well Maintained House,5.8 Crore,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",6,6,250 Sq. Yd.,Added: 3 hours ago
House,240 SQ OWNER BUILD WEST OPEN AND WELL MAINTAINED BUNGALOW FOR SALE,5.8 Crore,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",6,6,240 Sq. Yd.,Added: 3 hours ago
House,Corner West Open Direct Owner Meeting Well Maintained House,5.75 Crore,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",6,6,240 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained & Brand New Houses Available,5.8 Crore,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",8,6,240 Sq. Yd.,Added: 3 hours ago
House,Direct Owner Meeting Well Maintained House,5.25 Crore,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",6,6,240 Sq. Yd.,Added: 3 hours ago
House,300 yards bungalow for sale in DHA Phase 4,11 Crore,"DHA Phase 4, DHA Defence",4,6,500 Sq. Yd.,Added: 22 minutes ago
House,Town House 160 Square Yards For Sale In P. E. C. H. S Block 6,7.75 Crore,"PECHS Block 6, PECHS",5,6,160 Sq. Yd.,Added: 23 minutes ago
House,Bungalow for Sale 666 Square Yards In DHA Phase 8 Zone A,15.5 Crore,"DHA Phase 8 - Zone A, DHA Phase 8",5,6,666 Sq. Yd.,Added: 23 minutes ago
